time,latitude (deg),longitude (deg),barometric pressure (hPa),air temperature (degC),tilt (deg),compass bearing (deg)
2025-07-12T18:00:15,83.855461,24.231207,999,1.3125,1.0,87.0
2025-07-12T20:00:14,83.862183,24.422050,1000,1.0000,1.0,91.0
2025-07-12T22:00:15,83.867676,24.581505,1000,0.9375,1.0,98.0
2025-07-13T00:00:14,83.871117,24.769630,1001,0.6250,1.0,92.0
2025-07-13T02:00:15,83.870804,24.959719,1001,0.5000,1.0,91.0
2025-07-13T04:00:15,83.869247,25.137400,1001,0.6875,1.0,89.0
2025-07-13T06:00:14,83.867432,25.293079,1002,0.8750,1.0,85.0
2025-07-13T08:00:15,83.867249,25.408831,1002,1.1250,1.0,92.0
2025-07-13T10:00:15,83.869766,25.514194,1003,1.5000,1.0,91.0
2025-07-13T12:00:14,83.870514,25.627081,1003,1.8125,2.0,98.0
2025-07-13T14:00:15,83.868958,25.747932,1002,1.8125,2.0,87.0
2025-07-13T16:00:15,83.865601,25.872644,1003,1.5625,2.0,92.0
2025-07-13T18:00:14,83.861511,25.975309,1003,1.2500,2.0,93.0
2025-07-13T20:00:15,83.857841,26.050085,1003,1.3750,2.0,88.0
2025-07-13T22:00:15,83.853996,26.097277,1003,1.1250,2.0,92.0
2025-07-14T00:00:14,83.849716,26.136108,1004,0.9375,2.0,93.0
2025-07-14T02:00:15,83.843994,26.160854,1004,0.1875,2.0,95.0
2025-07-14T04:00:15,83.838394,26.171070,1005,0.7500,2.0,91.0
2025-07-14T06:00:14,83.833237,26.180305,1005,2.2500,2.0,95.0
2025-07-14T08:00:15,83.828995,26.193510,1006,2.9375,2.0,100.0
2025-07-14T10:00:15,83.825325,26.209152,1007,4.3750,2.0,99.0
2025-07-14T12:00:14,83.822418,26.212626,1006,7.0000,2.0,103.0
2025-07-14T14:00:15,83.821068,26.213554,1007,6.8125,2.0,100.0
2025-07-14T16:00:15,83.822578,26.237833,1006,4.9375,2.0,105.0
2025-07-14T18:00:14,83.827644,26.278965,1005,4.2500,2.0,101.0
2025-07-14T20:00:15,83.836952,26.342749,1004,2.8125,2.0,96.0
2025-07-14T22:00:14,83.848831,26.441072,1003,1.7500,2.0,99.0
2025-07-15T00:00:15,83.858818,26.581095,1002,0.9375,2.0,92.0
2025-07-15T02:00:15,83.861313,26.751310,1002,0.7500,2.0,93.0
2025-07-15T04:00:14,83.855370,26.879791,1001,1.1250,2.0,91.0
2025-07-15T06:00:15,83.846054,26.928560,1001,1.5625,2.0,96.0
2025-07-15T08:00:15,83.838562,26.906660,1001,2.8750,2.0,96.0
2025-07-15T10:00:14,83.836746,26.892136,1002,3.3750,2.0,106.0
2025-07-15T12:00:15,83.830032,26.956127,1002,2.9375,2.0,99.0
2025-07-15T14:00:15,83.816902,27.053879,1003,2.4375,2.0,99.0
2025-07-15T16:00:14,83.795631,27.125975,1003,1.5625,3.0,91.0
2025-07-15T18:00:15,83.772820,27.144566,1004,1.1875,3.0,87.0
2025-07-15T20:00:15,83.755669,27.142010,1004,0.8750,3.0,94.0
